epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.024,1.09509,3.70438,1.34675,0.54148,0.4179,0.27488,0.23055,0.6353,1.82218,1.008,7.08345e-05,7.08345e-05,7.08345e-05
2,135.146,0.82366,2.21888,1.21366,0.58907,0.62271,0.61791,0.53154,0.58468,1.01345,0.98045,0.000113751,0.000113751,0.000113751
3,207.452,0.72912,1.66519,1.14332,0.72129,0.81313,0.8189,0.7305,0.48343,0.63856,0.92327,0.000128552,0.000128552,0.000128552
4,280.386,0.68302,1.43355,1.10795,0.82071,0.91412,0.90646,0.81308,0.48174,0.47782,0.91078,8.6478e-05,8.6478e-05,8.6478e-05
5,353.239,0.64907,1.31872,1.08528,0.84886,0.92758,0.91691,0.8359,0.43454,0.4442,0.8808,4.4304e-05,4.4304e-05,4.4304e-05
