epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5914.35,0.38131,0.46637,0.96234,0.98899,0.98743,0.99354,0.96482,0.28761,0.1386,0.88859,0.00307,0.00307,0.00307
44,6055.32,0.37832,0.46704,0.96156,0.98968,0.98771,0.99374,0.96536,0.28694,0.13768,0.88808,0.002905,0.002905,0.002905
45,6196.34,0.3762,0.46283,0.96063,0.98989,0.98784,0.99378,0.9651,0.28641,0.13701,0.88784,0.00274,0.00274,0.00274
46,6334.16,0.3742,0.4522,0.95931,0.98969,0.98878,0.99386,0.96598,0.28582,0.13614,0.88754,0.002575,0.002575,0.002575
47,6473.66,0.36753,0.44364,0.95555,0.98951,0.98919,0.99391,0.9658,0.28557,0.13561,0.88727,0.00241,0.00241,0.00241
48,6612.27,0.36769,0.43914,0.9562,0.98972,0.99033,0.99399,0.96657,0.28517,0.13514,0.88699,0.002245,0.002245,0.002245
49,6751.84,0.3637,0.43228,0.95702,0.9898,0.99096,0.99402,0.96655,0.28484,0.13472,0.8868,0.00208,0.00208,0.00208
50,6891.99,0.36225,0.4312,0.95571,0.98995,0.99137,0.99408,0.9668,0.28455,0.13451,0.88669,0.001915,0.001915,0.001915
51,7050.81,0.37065,0.20025,1.04913,0.98954,0.99216,0.99414,0.96667,0.28424,0.1345,0.88635,0.00175,0.00175,0.00175
52,7188.13,0.36316,0.18925,1.04501,0.99068,0.99213,0.9942,0.96713,0.28376,0.13401,0.88603,0.001585,0.001585,0.001585
53,7325.57,0.35738,0.18517,1.04038,0.99193,0.99106,0.99427,0.96734,0.28283,0.13336,0.88571,0.00142,0.00142,0.00142
54,7464.97,0.35148,0.17798,1.03499,0.99365,0.991,0.99435,0.96768,0.28182,0.13247,0.88532,0.001255,0.001255,0.001255
55,7604.77,0.34985,0.17388,1.03346,0.99399,0.99116,0.99439,0.96798,0.28119,0.13183,0.88485,0.00109,0.00109,0.00109
56,7743.58,0.34361,0.16892,1.02792,0.99398,0.99124,0.99444,0.96816,0.28047,0.13088,0.88449,0.000925,0.000925,0.000925
57,7882.97,0.34074,0.16533,1.02772,0.99559,0.99174,0.99453,0.96876,0.2799,0.13039,0.88425,0.00076,0.00076,0.00076
58,8022.48,0.33562,0.16184,1.02367,0.99561,0.99179,0.99461,0.96942,0.27927,0.13024,0.8838,0.000595,0.000595,0.000595
59,8163.56,0.33419,0.15825,1.02084,0.99503,0.99206,0.99461,0.96961,0.27869,0.12934,0.88347,0.00043,0.00043,0.00043
60,8304.59,0.33034,0.15454,1.02319,0.99491,0.99307,0.99463,0.96946,0.27805,0.12879,0.88309,0.000265,0.000265,0.000265
