epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.1819,1.09509,3.70438,1.34675,0.54148,0.4179,0.27488,0.23055,0.6353,1.82218,1.008,7.08345e-05,7.08345e-05,7.08345e-05
2,121.486,0.82787,2.26028,1.21628,0.62642,0.5947,0.59675,0.51688,0.56284,1.0258,0.97074,9.50291e-05,9.50291e-05,9.50291e-05
3,184.023,0.72979,1.73785,1.14821,0.69888,0.75369,0.76407,0.66457,0.55065,0.71207,0.95567,7.23637e-05,7.23637e-05,7.23637e-05
