epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.211,0.65939,3.13429,1.21586,0.63856,0.66206,0.68331,0.59661,0.54638,1.02898,0.98097,7.08345e-05,7.08345e-05,7.08345e-05
2,289.917,0.47172,1.08287,1.04564,0.82102,0.89437,0.90519,0.78142,0.59783,0.5589,1.00005,0.000127793,0.000127793,0.000127793
3,427.27,0.44097,0.67823,1.02498,0.9076,0.92044,0.9413,0.85078,0.44689,0.42805,0.91496,0.000170693,0.000170693,0.000170693
4,563.81,0.41982,0.51546,1.01228,0.92071,0.96908,0.96547,0.88554,0.41648,0.32455,0.89226,0.000149739,0.000149739,0.000149739
5,700.205,0.3921,0.41554,0.99548,0.90904,0.97575,0.95724,0.89122,0.38104,0.2833,0.86658,0.000128652,0.000128652,0.000128652
6,838.091,0.38043,0.35162,0.9896,0.95857,0.96264,0.97316,0.89612,0.43068,0.25922,0.88252,0.000107565,0.000107565,0.000107565
7,976.353,0.36615,0.31105,0.98189,0.94965,0.97566,0.98425,0.88076,0.5235,0.26624,0.92899,8.6478e-05,8.6478e-05,8.6478e-05
8,1114.56,0.35632,0.2728,0.97709,0.97142,0.98155,0.99172,0.91129,0.43497,0.22017,0.87714,6.5391e-05,6.5391e-05,6.5391e-05
9,1252.4,0.34304,0.25063,0.97017,0.98331,0.98291,0.99323,0.92029,0.42122,0.20375,0.87445,4.4304e-05,4.4304e-05,4.4304e-05
10,1388.85,0.33462,0.23051,0.96599,0.98464,0.98281,0.99285,0.93444,0.377,0.18668,0.84948,2.3217e-05,2.3217e-05,2.3217e-05
