epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.9417,0.87261,3.43526,1.1655,0.47832,0.43515,0.33295,0.28499,0.57648,1.62984,0.98719,7.08345e-05,7.08345e-05,7.08345e-05
2,119.737,0.62965,1.70865,1.07324,0.76888,0.59411,0.66784,0.58672,0.53584,0.90472,0.98115,9.50291e-05,9.50291e-05,9.50291e-05
3,180.523,0.55922,1.23176,1.02936,0.78285,0.84078,0.83089,0.72544,0.54933,0.62428,0.94529,7.23637e-05,7.23637e-05,7.23637e-05
