epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.5337,0.8484,3.15695,1.15268,0.55607,0.49606,0.42656,0.36011,0.63056,1.40567,1.03097,7.09172e-05,7.09172e-05,7.09172e-05
2,178.859,0.61204,1.46656,1.04893,0.70352,0.83487,0.81978,0.7255,0.52933,0.65911,0.95093,0.000113818,0.000113818,0.000113818
3,271.845,0.55974,1.13472,1.01487,0.82599,0.87761,0.89095,0.74011,0.69175,0.55516,1.04803,0.000128602,0.000128602,0.000128602
4,363.755,0.52717,0.97401,0.99773,0.89816,0.92733,0.92784,0.85032,0.4295,0.38468,0.88674,8.6478e-05,8.6478e-05,8.6478e-05
5,456.508,0.49556,0.88293,0.98548,0.90034,0.95498,0.93916,0.86703,0.40768,0.34023,0.87606,4.4304e-05,4.4304e-05,4.4304e-05
